[2025-10-26 23:39:10,539] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-26 23:42:24,494] INFO django.server — "GET /admin/lab/requisicaoanalise/ HTTP/1.1" 200 19574
[2025-10-26 23:42:24,550] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-26 23:42:38,273] INFO django.server — "POST /admin/lab/requisicaoanalise/ HTTP/1.1" 200 125411
[2025-10-26 23:44:09,634] INFO django.server — "GET /admin/ HTTP/1.1" 200 26840
[2025-10-26 23:44:15,562] INFO django.server — "GET /admin/auth/user/ HTTP/1.1" 200 22727
[2025-10-26 23:44:15,635] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-26 23:44:24,161] INFO django.server — "GET /admin/ HTTP/1.1" 200 26840
[2025-10-26 23:44:27,133] INFO django.server — "GET /admin/lab/resultado/ HTTP/1.1" 200 24215
[2025-10-26 23:44:27,189] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-26 23:53:20,414] INFO django.utils.autoreload — /home/australopithecus/Área de trabalho/proj-sys-lab/proj-sys-lab/lab/utils/pdf_generator.py changed, reloading.
[2025-10-26 23:53:21,313] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-26 23:53:43,957] INFO django.server — "GET /admin/lab/resultado/ HTTP/1.1" 302 0
[2025-10-26 23:53:43,976] INFO django.server — "GET /admin/login/?next=/admin/lab/resultado/ HTTP/1.1" 200 3109
[2025-10-26 23:53:44,092] INFO django.server — "GET /static/css/admin_custom.css HTTP/1.1" 304 0
[2025-10-26 23:53:48,090] INFO django.server — "POST /admin/login/?next=/admin/lab/resultado/ HTTP/1.1" 302 0
[2025-10-26 23:53:48,143] INFO django.server — "GET /admin/lab/resultado/ HTTP/1.1" 200 24215
[2025-10-26 23:53:48,257] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-26 23:53:55,971] INFO django.server — "POST /admin/lab/resultado/ HTTP/1.1" 200 125134
[2025-10-26 23:54:36,977] INFO django.server — "GET /admin/ HTTP/1.1" 200 26840
[2025-10-26 23:54:38,309] INFO django.server — "GET /admin/lab/requisicaoanalise/ HTTP/1.1" 200 19574
[2025-10-26 23:54:38,366] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-26 23:54:46,048] INFO django.server — "POST /admin/lab/requisicaoanalise/ HTTP/1.1" 200 125411
[2025-10-26 23:58:46,882] INFO django.utils.autoreload — /home/australopithecus/Área de trabalho/proj-sys-lab/proj-sys-lab/lab/utils/pdf_generator.py changed, reloading.
[2025-10-26 23:58:48,325] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-26 23:59:00,812] INFO django.utils.autoreload — /home/australopithecus/Área de trabalho/proj-sys-lab/proj-sys-lab/lab/utils/pdf_generator.py changed, reloading.
[2025-10-26 23:59:02,422] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-26 23:59:28,766] INFO django.utils.autoreload — /home/australopithecus/Área de trabalho/proj-sys-lab/proj-sys-lab/lab/utils/pdf_generator.py changed, reloading.
[2025-10-26 23:59:29,824] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-27 00:01:29,667] INFO django.utils.autoreload — /home/australopithecus/Área de trabalho/proj-sys-lab/proj-sys-lab/lab/utils/pdf_generator.py changed, reloading.
[2025-10-27 00:01:30,628] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-27 00:01:47,772] INFO django.server — "GET /admin/lab/requisicaoanalise/ HTTP/1.1" 200 19574
[2025-10-27 00:01:47,825] INFO django.server — "GET /static/css/admin_custom.css HTTP/1.1" 304 0
[2025-10-27 00:01:47,832] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:01:48,855] INFO django.server — "GET /admin/lab/requisicaoanalise/ HTTP/1.1" 200 19574
[2025-10-27 00:01:48,901] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:01:55,637] INFO django.server — "POST /admin/lab/requisicaoanalise/ HTTP/1.1" 200 125408
[2025-10-27 00:02:25,714] INFO django.server — "GET /admin/lab/resultado/ HTTP/1.1" 200 24231
[2025-10-27 00:02:25,778] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:02:32,208] INFO django.server — "POST /admin/lab/resultado/ HTTP/1.1" 200 125132
[2025-10-27 00:03:08,857] INFO django.utils.autoreload — /home/australopithecus/Área de trabalho/proj-sys-lab/proj-sys-lab/lab/utils/pdf_generator.py changed, reloading.
[2025-10-27 00:03:09,781] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-27 00:03:11,018] INFO django.utils.autoreload — /home/australopithecus/Área de trabalho/proj-sys-lab/proj-sys-lab/lab/utils/pdf_generator.py changed, reloading.
[2025-10-27 00:03:12,160] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-27 00:03:13,440] INFO django.utils.autoreload — /home/australopithecus/Área de trabalho/proj-sys-lab/proj-sys-lab/lab/utils/pdf_generator.py changed, reloading.
[2025-10-27 00:03:14,065] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-27 00:03:18,016] INFO django.server — "GET /admin/lab/resultado/ HTTP/1.1" 200 24231
[2025-10-27 00:03:18,058] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:03:19,283] INFO django.server — "GET /admin/lab/resultado/ HTTP/1.1" 200 24231
[2025-10-27 00:03:19,320] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:03:34,397] INFO django.server — "POST /admin/lab/resultado/ HTTP/1.1" 200 125135
[2025-10-27 00:03:58,496] INFO django.server — "GET /admin/ HTTP/1.1" 302 0
[2025-10-27 00:03:58,513] INFO django.server — "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3095
[2025-10-27 00:04:01,045] INFO django.server — "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[2025-10-27 00:04:01,076] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-27 00:04:03,953] INFO django.server — "GET /admin/lab/requisicaoanalise/ HTTP/1.1" 200 19590
[2025-10-27 00:04:04,030] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:04:10,413] INFO django.server — "POST /admin/lab/requisicaoanalise/ HTTP/1.1" 302 0
[2025-10-27 00:04:10,446] INFO django.server — "GET /admin/lab/requisicaoanalise/ HTTP/1.1" 200 20172
[2025-10-27 00:04:10,532] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:04:19,233] INFO django.server — "POST /admin/lab/requisicaoanalise/ HTTP/1.1" 200 125411
[2025-10-27 00:06:03,476] INFO django.server — "GET /admin/lab/requisicaoanalise/ HTTP/1.1" 200 19590
[2025-10-27 00:06:03,516] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:06:11,518] INFO django.server — "POST /admin/logout/ HTTP/1.1" 302 0
[2025-10-27 00:06:11,526] INFO django.server — "GET /admin/login/ HTTP/1.1" 200 3082
[2025-10-27 00:06:14,302] INFO django.server — "POST /admin/login/ HTTP/1.1" 302 0
[2025-10-27 00:06:14,325] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-27 00:06:18,179] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-27 00:06:19,315] INFO django.server — "GET /admin/ HTTP/1.1" 200 26856
[2025-10-27 00:06:22,798] INFO django.server — "GET /admin/lab/requisicaoanalise/ HTTP/1.1" 200 19574
[2025-10-27 00:06:22,852] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:06:37,216] INFO django.server — "GET /admin/lab/resultado/ HTTP/1.1" 200 24215
[2025-10-27 00:06:37,265] INFO django.server — "GET /static/css/admin_custom.css HTTP/1.1" 304 0
[2025-10-27 00:06:37,270] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:23:13,861] INFO django.utils.autoreload — /home/australopithecus/Área de trabalho/proj-sys-lab/proj-sys-lab/lab/admin.py changed, reloading.
[2025-10-27 00:23:14,579] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-27 00:23:37,284] INFO django.utils.autoreload — /home/australopithecus/Área de trabalho/proj-sys-lab/proj-sys-lab/lab/admin.py changed, reloading.
[2025-10-27 00:23:38,062] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-27 00:23:48,684] INFO django.server — "GET /admin/lab/resultado/ HTTP/1.1" 302 0
[2025-10-27 00:23:48,704] INFO django.server — "GET /admin/login/?next=/admin/lab/resultado/ HTTP/1.1" 200 3109
[2025-10-27 00:23:48,806] INFO django.server — "GET /static/css/admin_custom.css HTTP/1.1" 304 0
[2025-10-27 00:24:03,692] INFO django.server — "POST /admin/login/?next=/admin/lab/resultado/ HTTP/1.1" 302 0
[2025-10-27 00:24:03,745] INFO django.server — "GET /admin/lab/resultado/ HTTP/1.1" 200 24231
[2025-10-27 00:24:03,891] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:24:23,889] INFO django.server — "GET /admin/lab/exame/ HTTP/1.1" 200 19090
[2025-10-27 00:24:23,943] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:24:28,986] INFO django.server — "GET /admin/lab/paciente/ HTTP/1.1" 200 21207
[2025-10-27 00:24:29,039] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:24:36,625] INFO django.server — "GET /admin/lab/resultado/ HTTP/1.1" 200 24231
[2025-10-27 00:24:36,686] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:24:56,238] INFO django.server — "POST /admin/logout/ HTTP/1.1" 302 0
[2025-10-27 00:24:56,246] INFO django.server — "GET /admin/login/ HTTP/1.1" 200 3082
[2025-10-27 00:25:16,657] INFO django.server — "POST /admin/login/ HTTP/1.1" 200 3419
[2025-10-27 00:25:38,529] INFO django.server — "POST /admin/login/ HTTP/1.1" 200 3419
[2025-10-27 00:26:08,490] INFO django.server — "POST /admin/login/ HTTP/1.1" 200 3419
[2025-10-27 00:26:25,730] INFO django.server — "POST /admin/login/ HTTP/1.1" 200 3419
[2025-10-27 00:26:40,737] INFO django.server — "POST /admin/login/ HTTP/1.1" 200 3419
[2025-10-27 00:26:54,372] INFO django.server — "POST /admin/login/ HTTP/1.1" 200 3419
[2025-10-27 00:26:57,862] INFO django.server — "POST /admin/login/ HTTP/1.1" 302 0
[2025-10-27 00:26:57,925] INFO django.server — "GET /admin/ HTTP/1.1" 200 26853
[2025-10-27 00:27:00,678] INFO django.server — "GET /admin/auth/user/ HTTP/1.1" 200 22743
[2025-10-27 00:27:00,718] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:27:10,371] INFO django.server — "GET /admin/auth/user/4/change/ HTTP/1.1" 200 34311
[2025-10-27 00:27:10,428] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:27:13,122] INFO django.server — "GET /admin/auth/user/4/password/ HTTP/1.1" 200 14659
[2025-10-27 00:27:13,169] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:27:32,000] INFO django.server — "POST /admin/auth/user/4/password/ HTTP/1.1" 200 14972
[2025-10-27 00:27:32,041] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:28:06,434] INFO django.server — "POST /admin/auth/user/4/password/ HTTP/1.1" 200 14974
[2025-10-27 00:28:06,488] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:28:30,036] INFO django.server — "POST /admin/auth/user/4/password/ HTTP/1.1" 200 14972
[2025-10-27 00:28:30,079] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:29:04,630] INFO django.server — "POST /admin/auth/user/4/password/ HTTP/1.1" 302 0
[2025-10-27 00:29:04,680] INFO django.server — "GET /admin/auth/user/4/change/ HTTP/1.1" 200 34816
[2025-10-27 00:29:04,785] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:29:09,463] INFO django.server — "POST /admin/logout/ HTTP/1.1" 302 0
[2025-10-27 00:29:09,469] INFO django.server — "GET /admin/login/ HTTP/1.1" 200 3082
[2025-10-27 00:29:32,366] INFO django.server — "POST /admin/login/ HTTP/1.1" 302 0
[2025-10-27 00:29:32,390] INFO django.server — "GET /admin/ HTTP/1.1" 200 22111
[2025-10-27 00:29:37,678] INFO django.server — "GET /admin/lab/exame/ HTTP/1.1" 200 19082
[2025-10-27 00:29:37,727] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:29:59,728] INFO django.server — "GET /admin/lab/exame/?o=-2 HTTP/1.1" 200 19212
[2025-10-27 00:29:59,778] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:30:01,614] INFO django.server — "GET /admin/lab/exame/?o=2 HTTP/1.1" 200 19212
[2025-10-27 00:30:01,673] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:30:07,362] INFO django.server — "GET /admin/lab/exame/?o=3.2 HTTP/1.1" 200 19648
[2025-10-27 00:30:07,421] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:30:09,094] INFO django.server — "GET /admin/lab/exame/?o=-3.2 HTTP/1.1" 200 19649
[2025-10-27 00:30:09,143] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:30:14,660] INFO django.server — "GET /admin/lab/resultado/ HTTP/1.1" 200 24033
[2025-10-27 00:30:14,728] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:30:17,479] INFO django.server — "GET /admin/lab/resultado/1/change/ HTTP/1.1" 200 31076
[2025-10-27 00:30:17,547] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:30:20,986] INFO django.server — "GET /admin/lab/resultado/1/delete/ HTTP/1.1" 200 13081
[2025-10-27 00:30:21,095] INFO django.server — "GET /static/admin/js/cancel.js HTTP/1.1" 200 564
[2025-10-27 00:30:24,060] INFO django.server — "GET /admin/lab/resultado/1/change/ HTTP/1.1" 200 31076
[2025-10-27 00:30:31,616] INFO django.server — "GET /admin/auth/user/ HTTP/1.1" 200 22735
